FDID,Fire Dept Name,HQ Addr1,HQ Addr2,HQ City,County,HQ State,HQ Zip,Mail Addr1,Mail Addr2,Mail PO Box,Mail City,Mail State,Mail Zip,Website,Number Of Stations,Dept Type,Organization Type,Active Firefighters - Career,Active Firefighters - Volunteer,Active Firefighters - Paid per Call,Non-Firefighting - Civilian,Non-Firefighting - Volunteer,Station Name,Station PO Box,Station Addr1,Station Addr2,Station City,Station State,Station Zip
"71002","Clay Fire Territory","18355 Auten RD","","South Bend","ST JOSEPH                ","IN","46637","18355 Auten RD","","","South Bend","IN","46637-2608","https://www.clayfd.org/","5","Mostly Career","Local (includes career, combination, and volunteer)","60","4","45","16","3","Clay Fire Station #4","","13981 State Road 23","","Granger","IN","46530-7596"
"71002","Clay Fire Territory","18355 Auten RD","","South Bend","ST JOSEPH                ","IN","46637","18355 Auten RD","","","South Bend","IN","46637-2608","https://www.clayfd.org/","5","Mostly Career","Local (includes career, combination, and volunteer)","60","4","45","16","3","Clay Fire Station #5","","12481 Anderson RD","","Granger","IN","46530-7256"
"71002","Clay Fire Territory","18355 Auten RD","","South Bend","ST JOSEPH                ","IN","46637","18355 Auten RD","","","South Bend","IN","46637-2608","https://www.clayfd.org/","5","Mostly Career","Local (includes career, combination, and volunteer)","60","4","45","16","3","Clay Fire Station #3","","51775 Portage RD","","South Bend","IN","46628-9631"
"10012","Clay Springs/ Pinedale Volunteer Fire Department","2216 Sandstone","PO Box 926","Clay Springs","NAVAJO                   ","AZ","85923","","","PO Box 926","Clay Springs","AZ","85923-0926","","2","Volunteer","Local (includes career, combination, and volunteer)","0","0","26","1","0","Pinedale Station","","1248 Pinedale RD","","Pinedale","AZ","85934"
"34009","Clay Volunteer Fire Department, Inc.","4383 Route 31","","Clay","ONONDAGA                 ","NY","13041","4383 State Route 31","","","Clay","NY","13041-8743","https://www.clayfire.com/","2","Volunteer","Local (includes career, combination, and volunteer)","0","45","0","1","0","Clay Volunteer Fire Department, Inc. Station 3","","8327 Caughdenoy RD","","Clay","NY","13041"
"57121","Clayton Fire Department","6996 Taywood RD","","Englewood","MONTGOMERY               ","OH","45322-3766","6996 Taywood RD","","","Englewood","OH","45322","https://www.clayton.oh.us/index.aspx?nid=135","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","7","0","8","0","0","Clayton Fire Department Station 84","","5971 W Wenger RD","","Clayton","OH","45322"
"05108","Clayton Fire Department","325 W Horne ST","PO Box 879","Clayton","JOHNSTON                 ","NC","27520","","","PO Box 879","Clayton","NC","27528-0879","https://www.townofclaytonnc.org/","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","15","0","55","1","0","Clayton Fire Department Station # 2","","800 NC Highway 42 W","","Clayton","NC","27520-5998"
"01940","Clear Creek Fire Authority","681 County Road 308","PO Box 507","Dumont","CLEAR CREEK              ","CO","80436","","","PO Box 507","Dumont","CO","80436-0507","https://www.clearcreekfire.com/","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","52","0","2","0","York Gulch Volunteer Fire Department","","1181 York Gulch RD","","Idaho Springs","CO","80452"
"01940","Clear Creek Fire Authority","681 County Road 308","PO Box 507","Dumont","CLEAR CREEK              ","CO","80436","","","PO Box 507","Dumont","CO","80436-0507","https://www.clearcreekfire.com/","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","52","0","2","0","Empire Volunteer Fire Department","","203 N Guanella ST","","Empire","CO","80438"
"01940","Clear Creek Fire Authority","681 County Road 308","PO Box 507","Dumont","CLEAR CREEK              ","CO","80436","","","PO Box 507","Dumont","CO","80436-0507","https://www.clearcreekfire.com/","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","52","0","2","0","Dumont Volunteer Fire Department","","681 County Road 308","","Dumont","CO","80436"
"01940","Clear Creek Fire Authority","681 County Road 308","PO Box 507","Dumont","CLEAR CREEK              ","CO","80436","","","PO Box 507","Dumont","CO","80436-0507","https://www.clearcreekfire.com/","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","52","0","2","0","Saint Mary's - Alice Volunteer Fire Department","","463 Silver Creek RD","","Idaho Springs","CO","80452-9409"
"01940","Clear Creek Fire Authority","681 County Road 308","PO Box 507","Dumont","CLEAR CREEK              ","CO","80436","","","PO Box 507","Dumont","CO","80436-0507","https://www.clearcreekfire.com/","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","52","0","2","0","Silver Plume Volunteer Fire Department","","345 Main ST","","Silver Plume","CO","80476"
"01940","Clear Creek Fire Authority","681 County Road 308","PO Box 507","Dumont","CLEAR CREEK              ","CO","80436","","","PO Box 507","Dumont","CO","80436-0507","https://www.clearcreekfire.com/","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","52","0","2","0","Idaho Springs Volunteer Fire Department","","2000 Colorado BLVD","","Idaho Springs","CO","80452"
"01940","Clear Creek Fire Authority","681 County Road 308","PO Box 507","Dumont","CLEAR CREEK              ","CO","80436","","","PO Box 507","Dumont","CO","80436-0507","https://www.clearcreekfire.com/","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","52","0","2","0","Clear Creek Fire Authority Station 6","","35713 Highway 40","","Evergreen","CO","80439"
"01940","Clear Creek Fire Authority","681 County Road 308","PO Box 507","Dumont","CLEAR CREEK              ","CO","80436","","","PO Box 507","Dumont","CO","80436-0507","https://www.clearcreekfire.com/","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","52","0","2","0","Georgetown Volunteer Fire Department","","750 Brownell","","Georgetown","CO","80444"
"41114","Clear Creek Volunteer Fire Department","3289 Clear Fork RD","","Clear Creek","RALEIGH                  ","WV","25044","","","PO Box 26","Clear Creek","WV","25044-0026","https://www.clearcreekvfd.com/","2","Volunteer","Local (includes career, combination, and volunteer)","0","22","0","0","17","Clear Creek Volunteer Fire Department Station 2","","323 Toneys Fork RD","","Clear Creek","WV","25044"
"71103","Clear Lake Fire Department","8670 1ST AVE W","","Clear Lake","SHERBURNE                ","MN","55319","","","PO Box 298","Clear Lake","MN","55319-0298","https://clearlakemn.govoffice2.com/","2","Volunteer","Local (includes career, combination, and volunteer)","0","0","30","0","0","Clear Lake Fire Department Station 2","","4180 105TH AVE","","Clear Lake","MN","55319-9535"
"NP604","Cleburne Fire Department","114 W Wardville ST","","Cleburne","JOHNSON                  ","TX","76033","","","PO Box 677","Cleburne","TX","76033-0677","https://www.ci.cleburne.tx.us/","3","Career","Local (includes career, combination, and volunteer)","53","0","0","2","0","Cleburne Fire Station 3","","901 West Kilpatrick","","Cleburne","TX","76033"
"NP604","Cleburne Fire Department","114 W Wardville ST","","Cleburne","JOHNSON                  ","TX","76033","","","PO Box 677","Cleburne","TX","76033-0677","https://www.ci.cleburne.tx.us/","3","Career","Local (includes career, combination, and volunteer)","53","0","0","2","0","Cleburne Fire Station 2","","606 S Nolan River RD","","Cleburne","TX","76033"
"NP604","Cleburne Fire Department","114 W Wardville ST","","Cleburne","JOHNSON                  ","TX","76033","","","PO Box 677","Cleburne","TX","76033-0677","https://www.ci.cleburne.tx.us/","3","Career","Local (includes career, combination, and volunteer)","53","0","0","2","0","Cleburne Fire Station 1","","801 E Henderson","","Cleburne","TX","76031"
"08045","Cleveland Community Volunteer Fire Department","11170 Statesville BLVD","","Cleveland","ROWAN                    ","NC","27013","","","PO Box 452","Cleveland","NC","27013","","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","15","18","0","0","6","Cleveland Community Volunteer Fire Department Station 35","","3360 Third Creek Church RD","","Cleveland","NC","27013"
"02060","Cliffside Park Volunteer Fire Department","525 Palisade AVE","","Cliffside Park","BERGEN                   ","NJ","07010-2914","525 Palisade AVE","","","Cliffside Park","NJ","07010-2914","","1","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","65","0","1","0","Independent Hook & Ladder Co # 1","","525 Palisades AVE","","Cliffside Park","NJ","07010"
"02060","Cliffside Park Volunteer Fire Department","525 Palisade AVE","","Cliffside Park","BERGEN                   ","NJ","07010-2914","525 Palisade AVE","","","Cliffside Park","NJ","07010-2914","","1","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","65","0","1","0","Grantwood Hose Co # 1","","525 Palisades AVE","","Cliffside Park","NJ","07010"
"02060","Cliffside Park Volunteer Fire Department","525 Palisade AVE","","Cliffside Park","BERGEN                   ","NJ","07010-2914","525 Palisade AVE","","","Cliffside Park","NJ","07010-2914","","1","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","65","0","1","0","Cliffside Engine Co 1","","525 Palisades AVE","","Cliffside Park","NJ","07010"
"04103","Climax Fire Department","1210 NC Highway 62 E","","Climax","GUILFORD                 ","NC","27233","","","PO Box 51","Climax","NC","27233-0051","https://www.climaxfire.com/","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","7","39","0","1","0","Station #42","","5316 Mack Lineberry RD","","Climax","NC","27233"
"01113","Clinton Fire Department","125 W Broad ST","","Clinton","ANDERSON                 ","TN","37716-2814","125 W Broad ST","","","Clinton","TN","37716-2814","","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","23","25","0","1","0","Fire Station 1","","100 Longmire RD","","Clinton","TN","37716"
"01113","Clinton Fire Department","125 W Broad ST","","Clinton","ANDERSON                 ","TN","37716-2814","125 W Broad ST","","","Clinton","TN","37716-2814","","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","23","25","0","1","0","Fire Station 2","","264 Hi-way DR","","Clinton","TN","37716"
"83003","Clinton Township Fire Department","501 W Washington ST","","Clinton","VERMILLION               ","IN","47842-7381","501 W Washington ST","","","Clinton","IN","47842-7381","","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","27","0","0","0","Clinton Township Fire Department 2","","170 S Bunson AVE","","Clinton","IN","47842-7375"
"77006","Clive Fire Department","8505 Harbach BLVD","STOP 2","Clive","POLK                     ","IA","50325","8505 Harbach BLVD","STOP 2","","Clive","IA","50325-1076","https://www.cityofclive.com/departments/fire/","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","7","0","50","3","3","Station 22","","1801 68TH ST","","West Des Moines","IA","50266"
"09305","Cloquet Area Fire District","2801 Dewey AVE","","Cloquet","CARLTON                  ","MN","55720","2801 Dewey AVE","","","Cloquet","MN","55720-3783","https://www.cloquetareafiredistrict.com/","3","Mostly Volunteer","Local (includes career, combination, and volunteer)","24","0","33","1","0","Station 2","","2779 Big Lake RD","","Cloquet","MN","55720-3302"
"09305","Cloquet Area Fire District","2801 Dewey AVE","","Cloquet","CARLTON                  ","MN","55720","2801 Dewey AVE","","","Cloquet","MN","55720-3783","https://www.cloquetareafiredistrict.com/","3","Mostly Volunteer","Local (includes career, combination, and volunteer)","24","0","33","1","0","Station 3","","2801 Dewey AVE","","Cloquet","MN","55720-3783"
"09305","Cloquet Area Fire District","2801 Dewey AVE","","Cloquet","CARLTON                  ","MN","55720","2801 Dewey AVE","","","Cloquet","MN","55720-3783","https://www.cloquetareafiredistrict.com/","3","Mostly Volunteer","Local (includes career, combination, and volunteer)","24","0","33","1","0","Station 1","","508 Cloquet AVE","","Cloquet","MN","55720-3742"
"04109","Cloverdale Volunteer Fire Department","11370 HWY 157","","Florence","LAUDERDALE               ","AL","35633","","","PO Box 82","Cloverdale","AL","35617-0082","","2","Volunteer","Local (includes career, combination, and volunteer)","0","43","0","0","0","Cloverdale Volunteer Fire Department Station 2","","3200 CO RD 10","","Florence","AL","35633"
"KA512","Cloverleaf Volunteer Fire Department","911 Hollywood ST","","Houston","HARRIS                   ","TX","77015-1301","911 Hollywood ST","","","Houston","TX","77015-1301","https://www.cloverleaf-fire.org/","2","Mostly Career","Local (includes career, combination, and volunteer)","65","15","0","3","4","Cloverleaf Volunteer Fire Department Station 2","","14422 Wallisville RD","","Houston","TX","77015"
"10005","Clovis Fire Department","1233 5TH ST","","Clovis","FRESNO                   ","CA","93612","1233 5TH ST","","","Clovis","CA","93612-1316","","5","Career","Local (includes career, combination, and volunteer)","61","0","0","6","18","Station #1","","633 Pollasky AVE","","Clovis","CA","93612"
"10005","Clovis Fire Department","1233 5TH ST","","Clovis","FRESNO                   ","CA","93612","1233 5TH ST","","","Clovis","CA","93612-1316","","5","Career","Local (includes career, combination, and volunteer)","61","0","0","6","18","Station #2","","2300 Minnewawa","","Clovis","CA","93612"
"10005","Clovis Fire Department","1233 5TH ST","","Clovis","FRESNO                   ","CA","93612","1233 5TH ST","","","Clovis","CA","93612-1316","","5","Career","Local (includes career, combination, and volunteer)","61","0","0","6","18","Station #4","","2427 Armstrong AVE","","Clovis","CA","93611"
"10005","Clovis Fire Department","1233 5TH ST","","Clovis","FRESNO                   ","CA","93612","1233 5TH ST","","","Clovis","CA","93612-1316","","5","Career","Local (includes career, combination, and volunteer)","61","0","0","6","18","Station #3","","555 N Villa AVE","","Clovis","CA","93611"
"10005","Clovis Fire Department","1233 5TH ST","","Clovis","FRESNO                   ","CA","93612","1233 5TH ST","","","Clovis","CA","93612-1316","","5","Career","Local (includes career, combination, and volunteer)","61","0","0","6","18","Station #5","","790 N Temperance AVE","","Clovis","CA","93611"
"14008","Coahoma County Fire Department","130 Roberson RD","","Lyon","COAHOMA                  ","MS","38645","130 Roberson RD","","","Lyon","MS","38645-9728","","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","3","80","0","0","0","Lula Fire Department","","113 Front ST","","Lula","MS","38644"
"14008","Coahoma County Fire Department","130 Roberson RD","","Lyon","COAHOMA                  ","MS","38645","130 Roberson RD","","","Lyon","MS","38645-9728","","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","3","80","0","0","0","Dublin Fire Department","","1397 Emerald RD","","Dublin","MS","38739"
"14008","Coahoma County Fire Department","130 Roberson RD","","Lyon","COAHOMA                  ","MS","38645","130 Roberson RD","","","Lyon","MS","38645-9728","","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","3","80","0","0","0","Rena Lara Fire Department","","3430 Highway One","","Rena Lara","MS","38767"
"14008","Coahoma County Fire Department","130 Roberson RD","","Lyon","COAHOMA                  ","MS","38645","130 Roberson RD","","","Lyon","MS","38645-9728","","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","3","80","0","0","0","Bobo Fire Department","","540 Bobo New Africa RD","","Clarksdale","MS","38614-8619"
"14008","Coahoma County Fire Department","130 Roberson RD","","Lyon","COAHOMA                  ","MS","38645","130 Roberson RD","","","Lyon","MS","38645-9728","","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","3","80","0","0","0","Cohoma Community College Fire Department","","3240 Friars Point RD","","Clarksdale","MS","38614-9359"
"14008","Coahoma County Fire Department","130 Roberson RD","","Lyon","COAHOMA                  ","MS","38645","130 Roberson RD","","","Lyon","MS","38645-9728","","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","3","80","0","0","0","Jonestown Fire Department","","270 2ND ST","","Jonestown","MS","38639"
"14008","Coahoma County Fire Department","130 Roberson RD","","Lyon","COAHOMA                  ","MS","38645","130 Roberson RD","","","Lyon","MS","38645-9728","","8","Mostly Volunteer","Local (includes career, combination, and volunteer)","3","80","0","0","0","Friars Point Fire Department","","701 3RD ST","","Friars Point","MS","38631"
"GC123","Coal City Fire Protection District","35 S DeWitt PL","","Coal City","GRUNDY                   ","IL","60416","","","PO Box 219","Coal City","IL","60416-0219","www.ccfire.net","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","10","0","40","1","4","Station #2","","1455 S Berta RD","","Coal City","IL","60416"
"54011","Coal Creek Fire & Rescue, Inc.","215 S Prarie ST","","New Richmond","MONTGOMERY               ","IN","46967","","","PO Box 9","New Richmond","IN","47967-0009","","2","Volunteer","Local (includes career, combination, and volunteer)","0","19","0","0","0","New Richmond Station","","215 S Prairie ST","","New Richmond","IN","47967"
"54011","Coal Creek Fire & Rescue, Inc.","215 S Prarie ST","","New Richmond","MONTGOMERY               ","IN","46967","","","PO Box 9","New Richmond","IN","47967-0009","","2","Volunteer","Local (includes career, combination, and volunteer)","0","19","0","0","0","Wingate Station","","103 E High ST","","Wingate","IN","47994"
"49101","Coal Township Fire Department","921 W Wood ST","","Coal Township","NORTHUMBERLAND           ","PA","17866-2313","921 W Wood ST","","","Coal Township","PA","17866-2313","","7","Volunteer","Local (includes career, combination, and volunteer)","0","105","0","0","15","Coal Township Fire Department Union -Station 130","","435 Stevens ST","","Coal Township","PA","17866"
"49101","Coal Township Fire Department","921 W Wood ST","","Coal Township","NORTHUMBERLAND           ","PA","17866-2313","921 W Wood ST","","","Coal Township","PA","17866-2313","","7","Volunteer","Local (includes career, combination, and volunteer)","0","105","0","0","15","Coal Township Fire Department Maine -Station 110","","Poplar & Independence ST","","Coal Township","PA","17866"
"49101","Coal Township Fire Department","921 W Wood ST","","Coal Township","NORTHUMBERLAND           ","PA","17866-2313","921 W Wood ST","","","Coal Township","PA","17866-2313","","7","Volunteer","Local (includes career, combination, and volunteer)","0","105","0","0","15","Coal Township Fire Department Fairview- Station 140","","1109 Pine ST","","Coal Township","PA","17866"
"49101","Coal Township Fire Department","921 W Wood ST","","Coal Township","NORTHUMBERLAND           ","PA","17866-2313","921 W Wood ST","","","Coal Township","PA","17866-2313","","7","Volunteer","Local (includes career, combination, and volunteer)","0","105","0","0","15","Coal Township Rescue Squad, Inc- Station 190","","1130 Pine ST","","Coal Township","PA","17866"
"49101","Coal Township Fire Department","921 W Wood ST","","Coal Township","NORTHUMBERLAND           ","PA","17866-2313","921 W Wood ST","","","Coal Township","PA","17866-2313","","7","Volunteer","Local (includes career, combination, and volunteer)","0","105","0","0","15","Coal Township Fire Department East End -Station 120","","25 Sherman ST","","Coal Township","PA","17866"
"49101","Coal Township Fire Department","921 W Wood ST","","Coal Township","NORTHUMBERLAND           ","PA","17866-2313","921 W Wood ST","","","Coal Township","PA","17866-2313","","7","Volunteer","Local (includes career, combination, and volunteer)","0","105","0","0","15","Coal Township Fire Department Brady- Station 150","","700 Maple ST","","Ranshaw","PA","17866"
"49101","Coal Township Fire Department","921 W Wood ST","","Coal Township","NORTHUMBERLAND           ","PA","17866-2313","921 W Wood ST","","","Coal Township","PA","17866-2313","","7","Volunteer","Local (includes career, combination, and volunteer)","0","105","0","0","15","Coal Township Fire Department Forest Hill -Station 160","","Trevorton RD","","Coal Township","PA","17866"
"55201","Coeur d'Alene Fire Department","300 E Foster AVE","","Coeur d'Alene","KOOTENAI                 ","ID","83814","300 E Foster AVE","","","Coeur D Alene","ID","83814-3043","https://www.cdafire.org/","3","Career","Local (includes career, combination, and volunteer)","51","0","0","3","0","Station 1","","320 E Foster AVE","","Coeur d' Alene","ID","83814"
"55201","Coeur d'Alene Fire Department","300 E Foster AVE","","Coeur d'Alene","KOOTENAI                 ","ID","83814","300 E Foster AVE","","","Coeur D Alene","ID","83814-3043","https://www.cdafire.org/","3","Career","Local (includes career, combination, and volunteer)","51","0","0","3","0","Fire Department Headquarters","","300 E Foster AVE","","Coeur d' Alene","ID","83814"
"55201","Coeur d'Alene Fire Department","300 E Foster AVE","","Coeur d'Alene","KOOTENAI                 ","ID","83814","300 E Foster AVE","","","Coeur D Alene","ID","83814-3043","https://www.cdafire.org/","3","Career","Local (includes career, combination, and volunteer)","51","0","0","3","0","Station 2","","3850 N Ramsey RD","","Coeur d' Alene","ID","83815"
"55201","Coeur d'Alene Fire Department","300 E Foster AVE","","Coeur d'Alene","KOOTENAI                 ","ID","83814","300 E Foster AVE","","","Coeur D Alene","ID","83814-3043","https://www.cdafire.org/","3","Career","Local (includes career, combination, and volunteer)","51","0","0","3","0","Station 3","","1500 N 15TH ST","","Coeur d' Alene","ID","83814"
"CF201","Coffey County Fire District # 1","113 N 5th ST","","Burlington","COFFEY                   ","KS","66839","113 N 5th ST","","","Burlington","KS","66839","","7","Volunteer","Local (includes career, combination, and volunteer)","0","0","135","0","0","Station #5","","510 S Main St","","LeRoy","KS","66857"
"CF201","Coffey County Fire District # 1","113 N 5th ST","","Burlington","COFFEY                   ","KS","66839","113 N 5th ST","","","Burlington","KS","66839","","7","Volunteer","Local (includes career, combination, and volunteer)","0","0","135","0","0","Station #4","","827 N Main St","","Gridley","KS","66852"
"CF201","Coffey County Fire District # 1","113 N 5th ST","","Burlington","COFFEY                   ","KS","66839","113 N 5th ST","","","Burlington","KS","66839","","7","Volunteer","Local (includes career, combination, and volunteer)","0","0","135","0","0","Station #3","","113 N 5th St","","Burlington","KS","66839"
"CF201","Coffey County Fire District # 1","113 N 5th ST","","Burlington","COFFEY                   ","KS","66839","113 N 5th ST","","","Burlington","KS","66839","","7","Volunteer","Local (includes career, combination, and volunteer)","0","0","135","0","0","Station #7","","216 Pearon St","","Waverly","KS","66871"
"CF201","Coffey County Fire District # 1","113 N 5th ST","","Burlington","COFFEY                   ","KS","66839","113 N 5th ST","","","Burlington","KS","66839","","7","Volunteer","Local (includes career, combination, and volunteer)","0","0","135","0","0","Station #6","","112 W 3rd St","","Lebo","KS","66856"
"04153","Colchester Center Volunteer Fire Company","483 Main ST","","Colchester","CHITTENDEN               ","VT","05449","","","PO Box 2091","Colchester","VT","05449-2091","https://www.colchesterfire.org/","3","Volunteer","Private or industrial fire  brigade","0","30","0","0","2","Champlain Station","","227 Clay Point RD","","Colchester","VT","05446-7505"
"04153","Colchester Center Volunteer Fire Company","483 Main ST","","Colchester","CHITTENDEN               ","VT","05449","","","PO Box 2091","Colchester","VT","05449-2091","https://www.colchesterfire.org/","3","Volunteer","Private or industrial fire  brigade","0","30","0","0","2","St Michael's Fire Department","","220 College PKWY","","Colchester","VT","05446"
"08060","Colchester Hayward Fire Department","52 Old Hartford RD","","Colchester","NEW LONDON               ","CT","06415-2736","52 Old Hartford RD","","","Colchester","CT","06415-2736","https://colchesterfd.com/","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","6","75","0","1","40","Colchester Hayward Fire Department Company 2","","424 Westchester RD","","Colchester","CT","06415"
"02510","Cold Spring Volunteer Fire Department","9110 CO RD 109","","Bremen","CULLMAN                  ","AL","35033","","","PO Box 114","Bremen","AL","35033","","2","Volunteer","Local (includes career, combination, and volunteer)","0","22","0","0","0","Cold Springs Volunteer Fire Department","","1085 CO RD 25","","Bremen","AL","35033"
"02602","Cole County Fire Protection District","5206 Monticello RD","","Jefferson City","COLE                     ","MO","65109","5206 Monticello RD","","","Jefferson City","MO","65109","https://www.ccfpd.net","8","Volunteer","Local (includes career, combination, and volunteer)","0","0","75","1","0","Cole County Fire Protection District Station 5","","16204 Market ST","","Eugene","MO","65032"
"02602","Cole County Fire Protection District","5206 Monticello RD","","Jefferson City","COLE                     ","MO","65109","5206 Monticello RD","","","Jefferson City","MO","65109","https://www.ccfpd.net","8","Volunteer","Local (includes career, combination, and volunteer)","0","0","75","1","0","Cole County Fire Protection District Station 4","","Headquarters","5206 Monticello RD","Jefferson City","MO","65109"
"02602","Cole County Fire Protection District","5206 Monticello RD","","Jefferson City","COLE                     ","MO","65109","5206 Monticello RD","","","Jefferson City","MO","65109","https://www.ccfpd.net","8","Volunteer","Local (includes career, combination, and volunteer)","0","0","75","1","0","Cole County Fire Protection District Station 7","","14712 HWY H","","Henley","MO","65040"
"02602","Cole County Fire Protection District","5206 Monticello RD","","Jefferson City","COLE                     ","MO","65109","5206 Monticello RD","","","Jefferson City","MO","65109","https://www.ccfpd.net","8","Volunteer","Local (includes career, combination, and volunteer)","0","0","75","1","0","Cole County Fire Protection District Station 6","","285 HWY H","","Eugene","MO","65032"
"02602","Cole County Fire Protection District","5206 Monticello RD","","Jefferson City","COLE                     ","MO","65109","5206 Monticello RD","","","Jefferson City","MO","65109","https://www.ccfpd.net","8","Volunteer","Local (includes career, combination, and volunteer)","0","0","75","1","0","Cole County Fire Protection District Station 8","","4501 Old Ridge RD","","Jefferson City","MO","65101"
"02602","Cole County Fire Protection District","5206 Monticello RD","","Jefferson City","COLE                     ","MO","65109","5206 Monticello RD","","","Jefferson City","MO","65109","https://www.ccfpd.net","8","Volunteer","Local (includes career, combination, and volunteer)","0","0","75","1","0","Cole County Fire Protection District Station 2","","9714 Pleasant Hill RD","","Jefferson City","MO","65109"
"02602","Cole County Fire Protection District","5206 Monticello RD","","Jefferson City","COLE                     ","MO","65109","5206 Monticello RD","","","Jefferson City","MO","65109","https://www.ccfpd.net","8","Volunteer","Local (includes career, combination, and volunteer)","0","0","75","1","0","Cole County Fire Protection District Station 3","","107 Fowler ST","","Saint Thomas","MO","65076"
"02602","Cole County Fire Protection District","5206 Monticello RD","","Jefferson City","COLE                     ","MO","65109","5206 Monticello RD","","","Jefferson City","MO","65109","https://www.ccfpd.net","8","Volunteer","Local (includes career, combination, and volunteer)","0","0","75","1","0","Cole County Fire Protection District Station 1","","4017 County Park RD","","Jefferson City","MO","65109"
"01050","Colebrook Volunteer Fire Department","31 Bunnell ST","","Colebrook","LITCHFIELD               ","CT","06021","","","PO Box 82","Colebrooke","CT","06021-0082","","2","Volunteer","Local (includes career, combination, and volunteer)","0","70","0","0","10","Forge Company","","300 Colebrook River RD","","Winsted","CT","06098"
"01050","Colebrook Volunteer Fire Department","31 Bunnell ST","","Colebrook","LITCHFIELD               ","CT","06021","","","PO Box 82","Colebrooke","CT","06021-0082","","2","Volunteer","Local (includes career, combination, and volunteer)","0","70","0","0","10","Center Firehouse","","PO Box 82","","Colebrook","CT","06021-0082"
"06004","College Park Fire Rescue","3737 College ST","","College Park","FULTON                   ","GA","30337-3541","3737 College ST","","","College Park","GA","30337-3541","https://www.collegeparkga.com/index.aspx?nid=142","2","Career","Local (includes career, combination, and volunteer)","70","0","0","3","0","Fire Station #2","","2336 Sullivan RD","","College Park","GA","30337"
"06004","College Park Fire Rescue","3737 College ST","","College Park","FULTON                   ","GA","30337-3541","3737 College ST","","","College Park","GA","30337-3541","https://www.collegeparkga.com/index.aspx?nid=142","2","Career","Local (includes career, combination, and volunteer)","70","0","0","3","0","College Park Fire Station #1","","3737 College ST","","College Park","GA","30337"
"BC605","College Station Fire Department","300 Krenek Tap RD","","College Station","BRAZOS                   ","TX","77840","","","PO Box 9960","College Station","TX","77842-9960","https://www.cstx.gov/fire/","6","Career","Local (includes career, combination, and volunteer)","132","0","0","4","0","Station 4","","1550 George Bush DR W","","College Station","TX","77845"
"BC605","College Station Fire Department","300 Krenek Tap RD","","College Station","BRAZOS                   ","TX","77840","","","PO Box 9960","College Station","TX","77842-9960","https://www.cstx.gov/fire/","6","Career","Local (includes career, combination, and volunteer)","132","0","0","4","0","Station 3","","1900 Barron RD","","College Station","TX","77840"
"BC605","College Station Fire Department","300 Krenek Tap RD","","College Station","BRAZOS                   ","TX","77840","","","PO Box 9960","College Station","TX","77842-9960","https://www.cstx.gov/fire/","6","Career","Local (includes career, combination, and volunteer)","132","0","0","4","0","Station 5","","1601 Wm. D. Fitch PKWY","","College Station","TX","77840"
"BC605","College Station Fire Department","300 Krenek Tap RD","","College Station","BRAZOS                   ","TX","77840","","","PO Box 9960","College Station","TX","77842-9960","https://www.cstx.gov/fire/","6","Career","Local (includes career, combination, and volunteer)","132","0","0","4","0","Station 6","","410 University DR E","","College Station","TX","77840"
"BC605","College Station Fire Department","300 Krenek Tap RD","","College Station","BRAZOS                   ","TX","77840","","","PO Box 9960","College Station","TX","77842-9960","https://www.cstx.gov/fire/","6","Career","Local (includes career, combination, and volunteer)","132","0","0","4","0","Station 1","","304 Holleman DR E","","College Station","TX","77840"
"BC605","College Station Fire Department","300 Krenek Tap RD","","College Station","BRAZOS                   ","TX","77840","","","PO Box 9960","College Station","TX","77842-9960","https://www.cstx.gov/fire/","6","Career","Local (includes career, combination, and volunteer)","132","0","0","4","0","Station 2","","2100 Rio Grande","","College Station","TX","77840"
